Goal.Line,Goal.O.Odds,Gls
Full (1.5),1.7,1.87
Full (1.5),1.71,1.86
Full (1.5),1.72,1.85
Full (1.5),1.73,1.84
Full (1.5),1.74,1.83
Full (1.5),1.75,1.82
Full (1.5),1.76,1.81
Full (1.5),1.77,1.8
Full (1.5),1.78,1.79
Full (1.5),1.79,1.79
Full (1.5),1.8,1.78
Full (1.5),1.81,1.77
Full (1.5),1.82,1.76
Full (1.5),1.83,1.75
Full (1.5),1.84,1.74
Full (1.5),1.85,1.74
Full (1.5),1.86,1.73
Full (1.5),1.87,1.72
Full (1.5),1.88,1.71
Full (1.5),1.89,1.7
Full (1.5),1.9,1.7
Full (1.5),1.91,1.69
Full (1.5),1.92,1.68
Full (1.5),1.93,1.67
Full (1.5),1.94,1.66
Full (1.5),1.95,1.65
Full (1.5),1.96,1.64
Full (1.5),1.97,1.64
Full (1.5),1.98,1.63
Full (1.5),1.99,1.62
Full (1.5),2,1.62
Full (1.5),2.01,1.61
Full (1.5),2.02,1.6
Full (1.5),2.03,1.6
Full (1.5),2.04,1.59
Full (1.5),2.05,1.59
Full (1.5),2.06,1.58
Full (1.5),2.07,1.58
Full (1.5),2.08,1.57
Full (1.5),2.09,1.57
Full (1.5),2.1,1.56
Full (1.5),2.11,1.56
Full (1.5),2.12,1.55
Full (1.5),2.13,1.54
Full (1.5),2.14,1.54
Full (1.5),2.15,1.53
Full (1.5),2.16,1.53
Full (1.5),2.17,1.52
Full (1.5),2.18,1.52
Full (1.5),2.19,1.51
Full (1.5),2.2,1.5
"Full (1.5, 2.0)",1.7,2.12
"Full (1.5, 2.0)",1.71,2.11
"Full (1.5, 2.0)",1.72,2.1
"Full (1.5, 2.0)",1.73,2.09
"Full (1.5, 2.0)",1.74,2.08
"Full (1.5, 2.0)",1.75,2.07
"Full (1.5, 2.0)",1.76,2.06
"Full (1.5, 2.0)",1.77,2.05
"Full (1.5, 2.0)",1.78,2.04
"Full (1.5, 2.0)",1.79,2.04
"Full (1.5, 2.0)",1.8,2.03
"Full (1.5, 2.0)",1.81,2.02
"Full (1.5, 2.0)",1.82,2.01
"Full (1.5, 2.0)",1.83,2
"Full (1.5, 2.0)",1.84,1.99
"Full (1.5, 2.0)",1.85,1.99
"Full (1.5, 2.0)",1.86,1.98
"Full (1.5, 2.0)",1.87,1.97
